Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,Not Graduate,No,9531,1864,460,180,0,Semiurban,Rejected
Female,No,Graduate,Yes,8710,2912,412,180,1,Rural,Approved
Male,No,Graduate,No,7383,3032,481,180,1,Semiurban,Approved
Male,Yes,Graduate,Yes,14496,1809,661,300,0,Semiurban,Rejected
Female,Yes,Graduate,Yes,14389,8573,108,180,0,Rural,Rejected
Male,No,Not Graduate,No,5065,4937,532,240,1,Urban,Approved
Male,Yes,Not Graduate,Yes,10541,1908,674,180,1,Rural,Approved
Male,Yes,Graduate,No,8087,6907,468,360,1,Semiurban,Approved
Female,No,Graduate,Yes,4949,5337,154,240,1,Rural,Rejected
Male,No,Not Graduate,No,14721,638,207,360,1,Urban,Approved
Female,No,Graduate,Yes,8068,3932,108,300,0,Urban,Rejected
Male,Yes,Graduate,Yes,2006,4296,66,180,1,Rural,Rejected
Male,No,Graduate,No,7364,7657,556,360,0,Rural,Rejected
Female,Yes,Graduate,No,16543,7121,72,180,1,Urban,Approved
Female,Yes,Not Graduate,Yes,5036,231,571,180,1,Rural,Approved
Male,Yes,Graduate,Yes,13378,8035,572,300,1,Urban,Approved
Male,Yes,Graduate,Yes,9324,3736,184,300,1,Semiurban,Approved
Male,Yes,Not Graduate,Yes,16520,4169,620,240,0,Rural,Rejected
Male,Yes,Graduate,Yes,7631,995,472,360,0,Semiurban,Rejected
Female,No,Graduate,Yes,19061,6483,533,300,0,Semiurban,Rejected
Male,No,Not Graduate,No,12965,5697,696,240,0,Rural,Rejected
Male,No,Graduate,Yes,1700,3693,684,300,0,Urban,Rejected
Female,No,Graduate,No,9400,6307,542,300,1,Rural,Approved
Male,No,Graduate,No,7082,7998,212,360,0,Semiurban,Rejected
Male,No,Graduate,Yes,6043,3052,259,180,0,Rural,Rejected
Male,Yes,Graduate,No,2603,6096,506,300,0,Urban,Rejected
Male,Yes,Graduate,No,15547,8989,470,180,1,Rural,Approved
Female,Yes,Not Graduate,Yes,1958,3510,263,360,0,Rural,Rejected
Male,No,Graduate,No,2738,8326,306,180,0,Urban,Rejected
Male,No,Not Graduate,Yes,8811,9783,376,180,1,Rural,Approved
Female,No,Graduate,Yes,5767,4478,250,360,1,Urban,Approved
Female,No,Graduate,No,19674,5911,140,300,0,Semiurban,Rejected
Male,Yes,Not Graduate,Yes,2884,2750,578,300,1,Urban,Rejected
Female,Yes,Not Graduate,No,9058,4799,196,360,1,Urban,Approved
Female,No,Not Graduate,Yes,4374,7085,691,300,0,Semiurban,Rejected
Male,No,Graduate,Yes,2023,3082,118,300,1,Rural,Rejected
Male,Yes,Not Graduate,Yes,2234,383,187,300,1,Semiurban,Rejected
Male,No,Graduate,Yes,13470,2278,427,240,1,Rural,Approved
Female,No,Not Graduate,Yes,9119,228,586,240,1,Semiurban,Approved
Female,No,Graduate,No,6937,475,233,360,0,Semiurban,Rejected
Female,No,Not Graduate,Yes,16805,672,79,360,0,Rural,Rejected
Female,Yes,Not Graduate,Yes,12123,1364,676,240,1,Semiurban,Approved
Female,No,Graduate,No,17078,5045,658,240,1,Semiurban,Approved
Female,No,Not Graduate,No,3142,4204,596,360,0,Rural,Rejected
Female,No,Graduate,No,19993,7370,584,300,0,Semiurban,Rejected
Male,Yes,Not Graduate,Yes,2131,4073,586,240,0,Semiurban,Rejected
Male,Yes,Graduate,No,7793,6219,89,360,0,Rural,Rejected
Female,No,Not Graduate,Yes,19080,8142,359,240,0,Rural,Rejected
Male,No,Not Graduate,Yes,13818,1512,232,360,1,Urban,Approved
Female,Yes,Not Graduate,No,19628,9833,669,240,1,Semiurban,Approved
Female,Yes,Graduate,Yes,7552,3209,186,240,1,Semiurban,Approved
Female,No,Graduate,No,1906,3319,103,360,1,Rural,Rejected
Male,No,Not Graduate,Yes,16437,6276,249,360,1,Semiurban,Approved
Female,No,Not Graduate,Yes,14685,1777,496,300,0,Rural,Rejected
Male,No,Not Graduate,Yes,3667,3486,474,360,0,Rural,Rejected
Male,No,Graduate,No,13357,4446,453,300,0,Urban,Rejected
Male,Yes,Graduate,No,14219,3120,654,180,1,Rural,Approved
Female,No,Not Graduate,Yes,5138,5065,392,180,1,Urban,Approved
Male,Yes,Graduate,Yes,12264,2083,233,180,0,Rural,Rejected
Female,Yes,Graduate,Yes,3615,205,606,240,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,18781,6573,632,180,0,Urban,Rejected
Male,Yes,Graduate,Yes,14438,3037,503,180,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,3172,1498,372,300,0,Urban,Rejected
Male,Yes,Graduate,Yes,11394,3816,411,360,1,Rural,Approved
Male,No,Graduate,Yes,17586,7697,258,240,1,Urban,Approved
Male,No,Not Graduate,Yes,8436,7841,77,360,0,Semiurban,Rejected
Male,No,Not Graduate,Yes,8516,3663,631,360,1,Semiurban,Approved
Male,No,Graduate,No,7661,7099,232,300,0,Urban,Rejected
Male,No,Graduate,No,17299,8983,120,240,1,Urban,Approved
Male,No,Not Graduate,Yes,7728,9285,91,240,0,Semiurban,Rejected
Male,No,Graduate,Yes,10111,9215,587,360,0,Semiurban,Rejected
Female,No,Not Graduate,No,11912,9313,309,180,1,Semiurban,Approved
Male,Yes,Graduate,Yes,2934,5302,135,180,1,Semiurban,Rejected
Male,Yes,Not Graduate,No,9210,518,652,300,0,Semiurban,Rejected
Male,No,Not Graduate,No,16366,3779,119,240,1,Rural,Approved
Female,No,Graduate,Yes,2866,7898,483,240,0,Semiurban,Rejected
Male,No,Graduate,Yes,19213,1037,526,300,1,Rural,Approved
Female,Yes,Not Graduate,No,12941,2635,189,300,0,Urban,Rejected
Female,No,Graduate,Yes,4963,9550,528,360,0,Urban,Rejected
Male,Yes,Not Graduate,Yes,15605,8919,208,180,1,Semiurban,Approved
Female,Yes,Graduate,Yes,19898,1370,404,300,0,Rural,Rejected
Male,No,Graduate,Yes,13153,8574,66,300,1,Rural,Approved
Female,No,Graduate,Yes,3110,4261,338,180,0,Urban,Rejected
Female,Yes,Not Graduate,No,9783,3708,409,360,0,Semiurban,Rejected
Male,Yes,Graduate,Yes,12521,6211,526,180,1,Semiurban,Approved
Female,No,Not Graduate,No,6755,7708,333,300,1,Urban,Approved
Female,No,Graduate,No,1575,7924,511,240,0,Rural,Rejected
Male,Yes,Not Graduate,Yes,2659,1432,541,300,1,Semiurban,Rejected
Male,No,Not Graduate,Yes,4509,5620,676,240,1,Urban,Rejected
Male,Yes,Graduate,No,10137,8871,271,240,1,Rural,Approved
Female,No,Graduate,Yes,16114,6856,276,300,1,Rural,Approved
Male,No,Not Graduate,No,4623,6920,634,360,1,Semiurban,Rejected
Male,Yes,Not Graduate,Yes,10287,6060,196,240,0,Urban,Rejected
Female,Yes,Not Graduate,No,19764,3862,176,240,1,Urban,Approved
Female,No,Graduate,Yes,9909,1456,576,300,0,Urban,Rejected
Male,No,Graduate,Yes,14672,8543,156,300,1,Rural,Approved
Female,No,Not Graduate,No,13289,2519,140,300,1,Semiurban,Approved
Male,Yes,Not Graduate,Yes,9541,2592,572,300,1,Semiurban,Approved
Male,No,Graduate,No,3906,2526,177,300,1,Semiurban,Rejected
Female,Yes,Not Graduate,No,15663,9249,120,240,0,Rural,Rejected
Female,No,Graduate,Yes,11463,6695,603,240,0,Rural,Rejected
Male,No,Not Graduate,No,8543,7219,606,240,0,Semiurban,Rejected
Male,No,Not Graduate,No,3249,931,243,240,1,Semiurban,Rejected
Male,No,Not Graduate,Yes,16532,9051,434,360,0,Urban,Rejected
Male,No,Graduate,No,16251,163,123,240,0,Semiurban,Rejected
Male,No,Not Graduate,No,12229,3877,184,300,0,Semiurban,Rejected
Male,No,Not Graduate,Yes,4305,6325,57,240,1,Semiurban,Rejected
Male,No,Graduate,No,7530,1298,551,180,0,Urban,Rejected
Female,No,Graduate,No,14756,8429,155,360,0,Semiurban,Rejected
Female,Yes,Not Graduate,No,2202,4089,264,240,0,Rural,Rejected
Female,No,Not Graduate,Yes,9712,3428,345,240,0,Rural,Rejected
Male,No,Not Graduate,No,5299,1829,332,240,0,Urban,Rejected
Male,No,Not Graduate,No,17186,7778,304,360,0,Semiurban,Rejected
Male,No,Graduate,Yes,17982,5074,492,180,0,Rural,Rejected
Male,Yes,Not Graduate,Yes,3185,9505,294,300,1,Rural,Rejected
Male,No,Graduate,Yes,4695,7145,296,360,0,Rural,Rejected
Female,No,Graduate,No,9872,3788,596,360,1,Rural,Approved
Male,No,Graduate,Yes,13061,596,698,360,0,Semiurban,Rejected
Male,No,Graduate,No,6242,1657,586,240,1,Semiurban,Approved
Female,Yes,Graduate,Yes,15320,5029,656,300,0,Rural,Rejected
Male,No,Graduate,No,13615,4290,160,300,1,Rural,Approved
Female,No,Not Graduate,Yes,6383,8590,388,360,0,Semiurban,Rejected
Female,Yes,Not Graduate,Yes,11890,7155,388,240,1,Urban,Approved
Female,No,Graduate,No,10830,9792,185,180,1,Rural,Approved
Male,Yes,Graduate,Yes,3119,762,437,300,0,Semiurban,Rejected
Female,Yes,Not Graduate,Yes,7874,6274,192,180,0,Semiurban,Rejected
Female,Yes,Graduate,No,1573,9645,387,360,0,Urban,Rejected
Male,No,Graduate,Yes,19487,4094,255,180,1,Rural,Approved
Female,Yes,Not Graduate,Yes,5534,7771,412,300,0,Urban,Rejected
Female,No,Graduate,Yes,5725,1193,162,300,1,Urban,Approved
Female,Yes,Graduate,Yes,17253,6052,91,360,1,Rural,Approved
Male,Yes,Not Graduate,Yes,12225,2498,173,240,0,Urban,Rejected
Female,Yes,Not Graduate,Yes,11135,3509,541,300,0,Rural,Rejected
Female,No,Graduate,No,13169,9208,610,360,0,Urban,Rejected
Male,No,Not Graduate,No,10341,9531,645,180,0,Semiurban,Rejected
Female,Yes,Graduate,No,18140,945,342,180,1,Rural,Approved
Male,Yes,Graduate,No,19057,8755,110,300,1,Urban,Approved
Male,No,Graduate,Yes,17066,205,263,360,1,Semiurban,Approved
Male,Yes,Not Graduate,No,9998,3582,472,360,1,Urban,Approved
Male,Yes,Not Graduate,Yes,9413,4581,577,240,1,Semiurban,Approved
Male,Yes,Not Graduate,Yes,4160,2843,685,240,1,Semiurban,Rejected
Female,Yes,Graduate,Yes,16412,1715,139,300,1,Rural,Approved
Male,Yes,Not Graduate,No,8502,7465,141,240,1,Semiurban,Approved
Male,Yes,Not Graduate,No,11048,7412,357,180,1,Rural,Approved
Female,Yes,Graduate,No,3619,4082,319,300,0,Urban,Rejected
Male,Yes,Not Graduate,Yes,19919,448,169,180,0,Urban,Rejected
Female,No,Graduate,No,7697,7248,445,180,0,Urban,Rejected
Female,No,Not Graduate,No,10866,537,553,180,0,Semiurban,Rejected
Male,No,Not Graduate,No,8993,897,374,180,1,Urban,Approved
Female,No,Not Graduate,No,11743,2410,697,300,0,Semiurban,Rejected
Female,No,Graduate,No,14487,9755,471,240,0,Urban,Rejected
Male,Yes,Graduate,Yes,16493,6753,678,360,0,Semiurban,Rejected
Male,No,Graduate,No,8059,9450,64,360,1,Rural,Approved
Female,Yes,Not Graduate,No,4878,6269,158,360,1,Urban,Rejected
Male,No,Not Graduate,No,10113,6307,445,300,1,Urban,Approved
Male,No,Not Graduate,Yes,15938,6521,630,360,0,Rural,Rejected
Male,Yes,Not Graduate,Yes,1739,6752,314,180,1,Urban,Rejected
Female,Yes,Graduate,Yes,11332,1501,685,180,0,Semiurban,Rejected
Male,No,Not Graduate,No,11826,2231,384,180,1,Urban,Approved
Male,No,Graduate,No,12884,8151,184,300,0,Semiurban,Rejected
Female,No,Not Graduate,No,9835,9896,60,180,0,Urban,Rejected
Male,Yes,Not Graduate,No,16242,8695,127,360,0,Urban,Rejected
Male,Yes,Graduate,Yes,18262,3731,318,240,1,Urban,Approved
Male,Yes,Not Graduate,Yes,13462,4158,105,240,0,Urban,Rejected
Female,Yes,Not Graduate,No,7738,5856,103,180,1,Rural,Approved
Female,No,Not Graduate,Yes,14697,6070,680,300,0,Rural,Rejected
Male,No,Graduate,No,8557,3840,335,300,0,Semiurban,Rejected
Female,No,Not Graduate,Yes,18771,1046,613,240,0,Rural,Rejected
Male,Yes,Graduate,No,9171,2285,537,240,1,Rural,Approved
Male,No,Graduate,No,9746,1060,224,240,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,8349,6099,199,180,1,Urban,Approved
Female,Yes,Not Graduate,No,14597,8473,664,300,0,Urban,Rejected
Male,Yes,Graduate,No,1509,3713,449,360,1,Semiurban,Rejected
Female,No,Graduate,Yes,5958,7455,99,360,1,Semiurban,Approved
Female,Yes,Graduate,No,9836,2783,159,360,0,Rural,Rejected
Male,Yes,Not Graduate,Yes,11037,1403,610,300,0,Semiurban,Rejected
Male,No,Not Graduate,Yes,12016,88,98,360,0,Urban,Rejected
Female,Yes,Graduate,Yes,16579,7892,416,300,1,Semiurban,Approved
Male,Yes,Not Graduate,No,3007,4384,563,300,0,Semiurban,Rejected
Female,Yes,Graduate,No,5424,8770,229,360,0,Semiurban,Rejected
Male,Yes,Graduate,Yes,3056,695,521,300,0,Semiurban,Rejected
Female,Yes,Graduate,No,18972,1684,563,300,0,Semiurban,Rejected
Male,Yes,Graduate,No,3973,7079,381,360,0,Urban,Rejected
Female,No,Graduate,No,16413,4427,312,300,0,Semiurban,Rejected
Male,Yes,Graduate,No,4429,1897,545,360,1,Semiurban,Rejected
Male,Yes,Graduate,No,3122,8131,147,300,0,Semiurban,Rejected
Male,No,Not Graduate,No,2817,5108,533,360,0,Semiurban,Rejected
Male,Yes,Not Graduate,Yes,3042,8195,595,240,1,Semiurban,Rejected
Female,No,Graduate,Yes,7243,7895,355,240,0,Urban,Rejected
Female,Yes,Graduate,Yes,2754,6860,653,360,0,Urban,Rejected
Female,Yes,Graduate,No,16624,7996,365,240,0,Rural,Rejected
Female,Yes,Graduate,No,9617,713,225,180,0,Urban,Rejected
Female,No,Not Graduate,No,15322,8159,235,360,0,Urban,Rejected
Female,No,Graduate,No,5205,8562,379,240,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,8295,1915,664,180,1,Urban,Approved
Male,No,Not Graduate,No,12997,5807,186,180,1,Rural,Approved
Male,No,Not Graduate,No,16540,5883,385,180,1,Urban,Approved
Male,No,Not Graduate,Yes,10033,5320,519,180,0,Urban,Rejected
Female,No,Not Graduate,Yes,10050,6881,619,360,1,Rural,Approved
Female,Yes,Not Graduate,Yes,9054,9176,410,240,1,Semiurban,Approved
Female,Yes,Not Graduate,No,13341,6307,101,180,0,Urban,Rejected
Female,No,Not Graduate,No,14281,2762,268,240,0,Rural,Rejected
Female,No,Graduate,Yes,13385,5202,393,240,1,Rural,Approved
Male,No,Graduate,No,2161,8246,108,360,0,Rural,Rejected
Female,No,Graduate,No,17071,7828,308,300,0,Rural,Rejected
Female,No,Not Graduate,Yes,13587,8218,426,300,1,Urban,Approved
Female,Yes,Graduate,Yes,18507,9156,156,180,0,Semiurban,Rejected
Female,No,Not Graduate,Yes,14550,6663,525,240,1,Rural,Approved
Male,No,Not Graduate,Yes,13231,3912,531,300,0,Urban,Rejected
Male,Yes,Not Graduate,No,15401,4903,105,360,1,Semiurban,Approved
Male,Yes,Graduate,No,11843,1947,487,180,0,Semiurban,Rejected
Male,Yes,Graduate,Yes,15968,9495,380,240,0,Semiurban,Rejected
Female,Yes,Graduate,No,18213,1126,569,360,1,Rural,Approved
Male,No,Graduate,Yes,19624,5137,310,180,1,Urban,Approved
Male,No,Not Graduate,Yes,11039,7582,280,240,0,Urban,Rejected
Female,No,Graduate,No,11117,2989,452,300,0,Rural,Rejected
Female,Yes,Not Graduate,No,3517,2270,693,360,0,Rural,Rejected
Female,Yes,Not Graduate,No,9467,8275,538,180,0,Rural,Rejected
Female,Yes,Not Graduate,No,8468,2788,380,180,1,Rural,Approved
Female,Yes,Graduate,No,19029,8170,90,240,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,7635,257,348,180,0,Urban,Rejected
Male,Yes,Not Graduate,Yes,5312,3754,683,360,1,Rural,Approved
Female,Yes,Graduate,Yes,2023,155,253,300,1,Rural,Rejected
Female,No,Graduate,No,17366,6131,288,300,0,Urban,Rejected
Female,Yes,Graduate,No,6741,4382,529,240,0,Urban,Rejected
Male,Yes,Not Graduate,Yes,9458,7114,694,180,0,Rural,Rejected
Female,No,Graduate,No,13070,9163,512,300,1,Rural,Approved
Male,Yes,Graduate,Yes,9498,9687,497,300,1,Rural,Approved
Male,Yes,Graduate,Yes,17180,9314,618,360,0,Urban,Rejected
Female,No,Graduate,No,1711,5559,183,360,1,Semiurban,Rejected
Female,Yes,Graduate,No,2207,868,320,240,1,Rural,Rejected
Male,Yes,Not Graduate,Yes,3720,1447,200,300,1,Urban,Rejected
Female,Yes,Graduate,No,16247,1927,143,180,1,Urban,Approved
Male,Yes,Not Graduate,No,12350,732,68,180,0,Semiurban,Rejected
Female,Yes,Not Graduate,Yes,10819,273,529,240,0,Urban,Rejected
Female,No,Graduate,Yes,6205,5285,541,300,0,Rural,Rejected
Female,No,Not Graduate,No,7132,9303,312,360,1,Semiurban,Approved
Male,Yes,Not Graduate,Yes,11796,3475,325,180,1,Semiurban,Approved
Male,No,Not Graduate,No,6550,3333,626,300,0,Semiurban,Rejected
Female,No,Not Graduate,Yes,6685,6367,410,240,0,Semiurban,Rejected
Male,No,Graduate,Yes,11828,5433,363,300,1,Urban,Approved
Female,Yes,Not Graduate,Yes,17105,6468,286,300,0,Rural,Rejected
Female,Yes,Not Graduate,No,17221,9756,635,240,0,Semiurban,Rejected
Female,No,Graduate,No,17463,5674,552,240,1,Urban,Approved
Male,Yes,Graduate,Yes,16222,4517,352,180,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,13780,8676,477,180,1,Rural,Approved
Female,No,Graduate,No,18788,5751,469,240,0,Rural,Rejected
Female,Yes,Graduate,No,13933,190,610,300,0,Rural,Rejected
Female,No,Not Graduate,No,18877,9651,543,180,1,Semiurban,Approved
Male,Yes,Not Graduate,No,7593,9692,107,180,0,Urban,Rejected
Female,Yes,Not Graduate,No,4871,2468,551,300,1,Urban,Rejected
Male,Yes,Not Graduate,Yes,2880,3843,623,180,0,Rural,Rejected
Male,No,Not Graduate,Yes,10647,6566,432,240,1,Semiurban,Approved
Male,Yes,Graduate,No,12054,5226,614,360,0,Urban,Rejected
Female,No,Graduate,Yes,9932,4638,685,240,0,Urban,Rejected
Female,Yes,Not Graduate,No,3476,9703,62,180,1,Semiurban,Rejected
Female,Yes,Not Graduate,No,18194,3610,164,240,1,Semiurban,Approved
Male,Yes,Graduate,Yes,13990,5360,443,180,1,Semiurban,Approved
Female,No,Not Graduate,No,7062,8835,170,360,1,Semiurban,Approved
Female,No,Not Graduate,No,9168,9558,637,180,0,Semiurban,Rejected
Female,Yes,Graduate,Yes,4599,913,330,180,1,Semiurban,Rejected
Female,Yes,Not Graduate,No,14437,1786,94,240,1,Semiurban,Approved
Male,No,Graduate,No,8821,7821,261,360,1,Rural,Approved
Male,Yes,Not Graduate,No,6235,5109,409,300,0,Urban,Rejected
Male,No,Graduate,No,8192,1173,565,300,1,Semiurban,Approved
Female,Yes,Graduate,No,18004,7601,53,300,1,Semiurban,Approved
Male,Yes,Graduate,No,7652,9118,263,360,0,Rural,Rejected
Female,Yes,Graduate,Yes,15058,3484,611,240,0,Semiurban,Rejected
Male,Yes,Not Graduate,Yes,8271,3086,294,300,0,Semiurban,Rejected
Female,No,Not Graduate,No,4390,2991,580,300,1,Urban,Rejected
Female,No,Graduate,No,6800,5608,56,360,0,Urban,Rejected
Male,No,Graduate,Yes,15101,3445,631,300,1,Rural,Approved
Female,Yes,Graduate,Yes,13329,6800,172,360,0,Rural,Rejected
Male,No,Not Graduate,Yes,2394,3156,78,180,1,Semiurban,Rejected
Female,No,Not Graduate,Yes,7439,9651,307,240,0,Rural,Rejected
Male,No,Graduate,No,10076,9345,347,240,1,Rural,Approved
Female,No,Graduate,Yes,19337,8756,463,360,1,Urban,Approved
Female,No,Not Graduate,Yes,12213,2036,363,360,0,Semiurban,Rejected
Female,Yes,Graduate,Yes,17412,5491,329,240,0,Rural,Rejected
Male,No,Not Graduate,Yes,16868,7413,68,360,1,Urban,Approved
Male,No,Graduate,Yes,8537,6720,322,240,0,Urban,Rejected
Male,No,Not Graduate,No,9451,1291,269,300,1,Rural,Approved
Male,No,Graduate,Yes,12968,6906,77,180,0,Rural,Rejected
Female,No,Not Graduate,Yes,9286,8622,533,300,1,Rural,Approved
Female,Yes,Graduate,No,1641,7861,123,360,0,Rural,Rejected
Female,Yes,Graduate,Yes,7932,788,441,360,1,Urban,Approved
Female,Yes,Not Graduate,No,13643,7464,216,180,0,Rural,Rejected
Male,No,Graduate,Yes,8273,5057,69,300,0,Semiurban,Rejected
Female,Yes,Graduate,No,5590,1728,277,300,0,Rural,Rejected
Male,Yes,Not Graduate,No,2295,6950,687,180,1,Urban,Rejected
Female,Yes,Graduate,Yes,10497,2682,613,360,0,Urban,Rejected
Female,Yes,Not Graduate,Yes,18511,5220,400,180,0,Semiurban,Rejected
Male,No,Graduate,Yes,1892,9889,578,300,0,Rural,Rejected
Male,Yes,Not Graduate,No,9978,2659,644,180,1,Semiurban,Approved
Male,No,Not Graduate,Yes,13052,7866,162,240,1,Semiurban,Approved
Male,No,Graduate,No,9349,3432,85,180,1,Rural,Approved
Male,No,Not Graduate,Yes,6785,739,90,360,0,Rural,Rejected
Male,No,Not Graduate,Yes,16407,8145,156,300,0,Rural,Rejected
Male,No,Not Graduate,Yes,9427,5397,328,240,0,Urban,Rejected
Female,No,Not Graduate,Yes,7608,2271,474,180,1,Rural,Approved
Male,No,Not Graduate,No,16789,2685,299,240,1,Rural,Approved
Male,Yes,Not Graduate,No,8311,3184,311,300,1,Urban,Approved
Male,Yes,Graduate,Yes,14779,4371,242,300,0,Rural,Rejected
Male,No,Not Graduate,Yes,14006,6319,171,300,0,Rural,Rejected
Female,No,Graduate,Yes,4736,6998,81,360,0,Rural,Rejected
Female,No,Not Graduate,No,14809,3561,343,180,0,Rural,Rejected
Female,No,Graduate,No,14403,54,488,240,0,Semiurban,Rejected
Male,Yes,Graduate,Yes,17220,2600,602,300,0,Urban,Rejected
Female,No,Graduate,No,16887,7826,615,180,1,Rural,Approved
Female,No,Graduate,Yes,19909,5449,691,360,1,Rural,Approved
Female,Yes,Graduate,Yes,7608,3996,521,300,1,Urban,Approved
Male,Yes,Not Graduate,No,17263,9931,585,300,1,Rural,Approved
Male,No,Not Graduate,Yes,16855,614,487,360,0,Rural,Rejected
Male,No,Graduate,No,1705,7254,83,360,0,Semiurban,Rejected
Female,No,Not Graduate,No,15917,4127,681,240,0,Rural,Rejected
Male,Yes,Graduate,Yes,7473,6683,403,300,1,Semiurban,Approved
Female,No,Not Graduate,Yes,12442,7232,374,180,0,Urban,Rejected
Female,Yes,Graduate,No,8432,8325,284,240,0,Urban,Rejected
Female,No,Not Graduate,No,4897,872,311,180,0,Urban,Rejected
Male,No,Graduate,Yes,11536,345,101,180,1,Urban,Approved
Male,No,Graduate,Yes,19568,6572,638,360,1,Rural,Approved
Female,Yes,Graduate,Yes,5203,1893,395,360,0,Urban,Rejected
Female,Yes,Graduate,Yes,1578,5547,588,360,1,Urban,Rejected
Male,Yes,Not Graduate,Yes,8876,3004,175,240,1,Urban,Approved
Female,No,Graduate,Yes,17479,4028,351,240,1,Urban,Approved
Male,No,Graduate,Yes,18052,7271,303,180,0,Urban,Rejected
Male,Yes,Graduate,No,13398,8157,283,180,0,Semiurban,Rejected
Female,Yes,Graduate,Yes,17573,1326,193,360,0,Rural,Rejected
Male,No,Not Graduate,No,6081,507,644,240,0,Rural,Rejected
Female,No,Not Graduate,No,6642,7320,678,300,0,Rural,Rejected
Female,Yes,Not Graduate,No,13016,7213,458,180,1,Urban,Approved
Male,No,Not Graduate,No,16114,8237,161,360,1,Rural,Approved
Male,No,Not Graduate,No,4786,7436,179,240,0,Urban,Rejected
Male,Yes,Graduate,No,15461,6997,592,360,1,Urban,Approved
Female,Yes,Graduate,No,11954,9609,513,180,0,Urban,Rejected
Female,Yes,Graduate,No,5574,3184,454,240,0,Semiurban,Rejected
Female,No,Not Graduate,Yes,13292,1509,636,300,1,Rural,Approved
Male,No,Graduate,Yes,11446,6836,76,240,1,Urban,Approved
Male,Yes,Not Graduate,Yes,16832,5724,476,360,0,Urban,Rejected
Male,Yes,Graduate,Yes,16602,204,599,360,0,Semiurban,Rejected
Female,No,Not Graduate,Yes,1886,5420,188,180,1,Rural,Rejected
Female,No,Graduate,Yes,7980,3511,331,360,1,Rural,Approved
Male,Yes,Graduate,No,2109,516,176,180,1,Rural,Rejected
Male,No,Not Graduate,Yes,7552,5752,141,240,1,Semiurban,Approved
Male,Yes,Graduate,No,14249,4962,249,180,0,Rural,Rejected
Female,Yes,Not Graduate,No,7260,7680,267,240,0,Rural,Rejected
Female,Yes,Graduate,No,14923,5371,149,180,1,Urban,Approved
Male,Yes,Graduate,Yes,17672,2789,366,180,0,Urban,Rejected
Male,Yes,Not Graduate,Yes,17331,8452,277,180,1,Urban,Approved
Female,No,Graduate,Yes,6057,3664,562,180,0,Semiurban,Rejected
Male,Yes,Graduate,Yes,18745,3720,617,180,1,Semiurban,Approved
Female,Yes,Not Graduate,No,9992,1754,97,180,1,Semiurban,Approved
Male,No,Graduate,Yes,2524,7441,164,300,0,Semiurban,Rejected
Female,Yes,Graduate,No,11976,4052,635,360,1,Semiurban,Approved
Female,Yes,Graduate,Yes,10847,6832,100,180,1,Rural,Approved
Male,No,Graduate,Yes,15462,5816,323,180,0,Semiurban,Rejected
Male,Yes,Not Graduate,Yes,7660,8907,58,240,1,Semiurban,Approved
Female,No,Graduate,No,2048,3706,468,240,0,Rural,Rejected
Male,No,Not Graduate,Yes,3638,138,488,360,0,Rural,Rejected
Female,Yes,Graduate,Yes,2474,6358,602,180,1,Urban,Rejected
Male,No,Not Graduate,Yes,10433,824,642,360,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,5578,9851,613,360,0,Urban,Rejected
Male,Yes,Graduate,No,3757,7104,313,240,0,Rural,Rejected
Male,Yes,Graduate,Yes,5297,3910,259,240,1,Urban,Approved
Male,No,Not Graduate,Yes,5614,3320,481,240,0,Rural,Rejected
Male,No,Not Graduate,Yes,9762,3219,176,180,0,Semiurban,Rejected
Male,No,Not Graduate,No,3998,9162,210,240,0,Rural,Rejected
Male,No,Not Graduate,No,2576,7843,76,180,0,Urban,Rejected
Female,Yes,Not Graduate,No,19866,446,674,360,0,Rural,Rejected
Female,No,Not Graduate,No,13354,7801,229,180,0,Rural,Rejected
Male,Yes,Graduate,No,6661,7944,536,360,1,Urban,Approved
Male,No,Not Graduate,Yes,18860,3688,129,360,0,Urban,Rejected
Male,No,Not Graduate,Yes,8920,2000,112,300,0,Semiurban,Rejected
Male,No,Graduate,No,13518,4233,502,360,0,Rural,Rejected
Male,No,Not Graduate,Yes,10006,1039,120,240,1,Rural,Approved
Female,No,Not Graduate,No,10942,7153,156,180,1,Semiurban,Approved
Male,Yes,Graduate,No,3312,2908,585,300,1,Rural,Rejected
Male,No,Not Graduate,No,7277,7336,403,360,1,Semiurban,Approved
Female,Yes,Graduate,Yes,19116,7860,579,240,0,Semiurban,Rejected
Female,No,Graduate,No,5245,9368,156,240,1,Urban,Approved
Female,No,Graduate,Yes,3256,1346,80,360,0,Urban,Rejected
Male,Yes,Graduate,No,16130,2064,124,360,1,Urban,Approved
Male,No,Graduate,Yes,13922,568,121,360,1,Rural,Approved
Male,Yes,Graduate,Yes,17479,7585,663,360,0,Rural,Rejected
Male,Yes,Graduate,No,14363,9877,338,240,1,Rural,Approved
